,Case Number,Type,Country,Gender,Fatality
3129,1971.10.02,Unprovoked,USA,M,N
3130,1971.09.25,Unprovoked,USA,Unknown,N
3131,1971.09.07,Unprovoked,CROATIA,M,Y
3132,1971.09.05,Unprovoked,AUSTRALIA,M,Y
3133,1971.08.21,Provoked,AUSTRALIA,M,N
3134,1971.07.26,Unprovoked,USA,M,N
3135,1971.07.19,Unprovoked,USA,M,N
3136,1971.06.30,Unprovoked,SOUTH AFRICA,M,N
3137,1971.06.01,Unprovoked,BRITISH ISLES,M,N
3138,1971.04.16R,Unprovoked,KENYA,M,N
3139,1971.04.11,Unprovoked,SOUTH AFRICA,M,Y
3140,1971.04.06,Unprovoked,MEXICO,M,Y
3141,1971.04.05.b,Unprovoked,VENEZUELA,M,Y
3142,1971.04.05.a,Unprovoked,VENEZUELA,M,Y
3143,1971.04.00,Sea Disaster,MOZAMBIQUE,Unknown,Y
3144,1971.03.30,Unprovoked,NEW ZEALAND,M,N
3145,1971.01.02,Unprovoked,AUSTRALIA,M,N
3146,1971.00.00.c,Unprovoked,AUSTRALIA,M,N
3147,1971.00.00.b,Unprovoked,IRAN,M,N
3148,1971.00.00.a,Unprovoked,IRAN,M,N
3149,1970.12.17,Unprovoked,MOZAMBIQUE,M,Y
3150,1970.12.13,Unprovoked,MOZAMBIQUE,M,Y
3151,1970.12.07,Unprovoked,MICRONESIA,M,N
3152,1970.12.03,Sea Disaster,USA,M,N
3153,1970.11.00,Unprovoked,NAN,M,N
3154,1970.10.24,Unprovoked,USA,M,N
3155,1970.10.00,Unprovoked,USA,M,N
3156,1970.09.28,Unprovoked,MICRONESIA,M,N
3157,1970.09.13,Provoked,PALAU,M,N
3158,1970.09.05,Unprovoked,USA,M,N
3159,1970.09.02,Provoked,AUSTRALIA,M,N
3160,1970.09.00.c,Unprovoked,USA,M,N
3161,1970.09.00.a,Unprovoked,USA,M,N
3162,1970.08.02,Invalid,NAN,Unknown,Y
3163,1970.07.05,Unprovoked,NAN,M,N
3164,1970.06.22,Provoked,USA,M,N
3165,1970.06.15,Provoked,SOUTH AFRICA,M,N
3166,1970.06.13.b,Unprovoked,GRENADA,M,Y
3167,1970.06.13.a,Unprovoked,GRENADA,M,Y
3168,1970.06.00,Sea Disaster,PHILIPPINES,Unknown,Y
3169,1970.04.04,Unprovoked,GRENADA,M,Y
3170,1970.04.00.b,Provoked,NAN,M,N
3171,1970.04.00.a,Unprovoked,SOLOMON ISLANDS,M,Unknown
3172,1970.03.31,Invalid,USA,M,Y
3173,1970.03.23,Unprovoked,USA,M,N
3174,1970.02.05,Unprovoked,NAN,F,N
3175,1970.01.23.d,Unprovoked,MOZAMBIQUE,M,N
3176,1970.01.23.c,Unprovoked,MOZAMBIQUE,M,N
3177,1970.01.23.b,Unprovoked,MOZAMBIQUE,M,N
3178,1970.01.23.a,Unprovoked,MOZAMBIQUE,M,N
3179,1970.01.16,Sea Disaster,EGYPT,M,Y
3180,1970.01.10,Unprovoked,MEXICO,M,N
3181,1970.01.09.R,Unprovoked,ENGLAND,M,N
3182,1970.01.00,Unprovoked,PAPUA NEW GUINEA,M,N
3183,1970.00.00.h,Unprovoked,SRI LANKA,M,N
3184,1970.00.00.g,Unprovoked,SPAIN,M,N
3185,1970.00.00.f,Boat,ITALY,M,N
3186,1970.00.00.e,Unprovoked,CROATIA,M,Unknown
