,Case Number,Type,Country,Gender,Fatality
1216,2006.08.27,Unprovoked,REUNION,M,N
1217,2006.08.22.b,Invalid,BRAZIL,M,Y
1218,2006.08.22.a,Invalid,BELIZE,M,Y
1219,2006.08.20.b,Sea Disaster,ITALY,M,Y
1220,2006.08.20.a,Unprovoked,REUNION,M,Y
1221,2006.08.15,Unprovoked,SOUTH AFRICA,M,N
1222,2006.08.13,Unprovoked,SOUTH AFRICA,M,N
1223,2006.08.00.b,Unprovoked,USA,F,N
1224,2006.08.00.a,Unprovoked,REUNION,M,N
1225,2006.07.31.R,Provoked,USA,Unknown,N
1226,2006.07.31.a,Unprovoked,USA,M,N
1227,2006.07.29.b,Invalid,USA,M,N
1228,2006.07.29.a,Unprovoked,USA,M,N
1229,2006.07.28,Unprovoked,SOUTH AFRICA,M,N
1230,2006.07.25,Unprovoked,USA,M,N
1231,2006.07.23,Unprovoked,USA,M,N
1232,2006.07.17.R,Invalid,AUSTRALIA,Unknown,N
1233,2006.07.17,Unprovoked,USA,M,N
1234,2006.07.13,Invalid,SPAIN,F,N
1235,2006.07.12,Unprovoked,USA,F,N
1236,2006.07.10,Unprovoked,BRAZIL,M,Y
1237,2006.07.09.b,Unprovoked,USA,M,N
1238,2006.07.09.a,Unprovoked,USA,M,N
1239,2006.07.08.b,Unprovoked,USA,F,N
1240,2006.07.08.a,Unprovoked,USA,M,N
1241,2006.06.30.b,Unprovoked,USA,F,N
1242,2006.06.30.a,Unprovoked,USA,M,N
1243,2006.06.27,Unprovoked,USA,F,N
1244,2006.06.26,Provoked,USA,M,N
1245,2006.06.24,Unprovoked,BAHAMAS,M,N
1246,2006.06.20,Unprovoked,USA,F,N
1247,2006.06.18,Unprovoked,BRAZIL,M,Y
1248,2006.06.17,Unprovoked,USA,M,N
1249,2006.06.15,Unprovoked,USA,M,N
1250,2006.06.07,Unprovoked,USA,F,N
1251,2006.06.05,Unprovoked,AUSTRALIA,M,N
1252,2006.05.31,Unprovoked,USA,M,N
1253,2006.05.28,Provoked,USA,Unknown,N
1254,2006.05.27,Unprovoked,USA,M,N
1255,2006.05.24,Provoked,USA,M,N
1256,2006.05.21,Unprovoked,BRAZIL,M,N
1257,2006.05.19,Unprovoked,USA,F,N
1258,2006.05.10,Unprovoked,USA,M,N
1259,2006.05.04,Unprovoked,USA,F,N
1260,2006.05.02,Provoked,AUSTRALIA,M,N
1261,2006.04.23.R,Invalid,USA,M,Y
1262,2006.04.21,Unprovoked,USA,M,N
1263,2006.04.19,Unprovoked,USA,F,N
1264,2006.04.13,Provoked,USA,M,N
1265,2006.04.11,Unprovoked,AUSTRALIA,M,N
1266,2006.04.09.b,Unprovoked,SOUTH AFRICA,M,N
1267,2006.04.09.a,Unprovoked,BRAZIL,M,N
1268,2006.04.03,Unprovoked,USA,M,N
1269,2006.03.28.R,Unprovoked,SIERRA LEONE,M,Y
1270,2006.03.23,Unprovoked,USA,F,N
1271,2006.03.22,Invalid,SOUTH AFRICA,M,Y
1272,2006.03.19,Unprovoked,FIJI,M,N
1273,2006.03.15,Unprovoked,AUSTRALIA,M,N
1274,2006.02.27,Unprovoked,USA,F,N
1275,2006.02.23,Invalid,USA,M,Y
1276,2006.02.13,Unprovoked,AUSTRALIA,M,N
1277,2006.02.12.b,Unprovoked,AUSTRALIA,M,N
1278,2006.02.12.a,Boat,AUSTRALIA,M,N
1279,2006.02.08,Unprovoked,SOUTH AFRICA,M,N
1280,2006.02.01.b,Unprovoked,TONGA,F,Y
1281,2006.02.01.a,Boat,USA,M,N
1282,2006.01.28.R,Boat,ATLANTIC OCEAN,M,N
1283,2006.01.25,Unprovoked,SOUTH AFRICA,M,N
1284,2006.01.23,Boat,ATLANTIC OCEAN,F,N
1285,2006.01.18,Unprovoked,USA,M,N
1286,2006.01.15,Unprovoked,AUSTRALIA,M,N
1287,2006.01.11,Invalid,BAHAMAS,M,N
1288,2006.01.07,Unprovoked,AUSTRALIA,F,Y
1289,2006.01.04,Unprovoked,USA,M,N
1290,2006.01.01,Unprovoked,SOUTH AFRICA,M,N
1291,2005.12.24,Unprovoked,USA,M,N
1292,2005.12.21,Unprovoked,USA,M,N
1293,2005.12.20,Boat,ATLANTIC OCEAN,Unknown,N
1294,2005.12.11,Unprovoked,AUSTRALIA,M,N
1295,2005.12.05.R,Boat,AUSTRALIA,Unknown,N
1296,2005.11.29.R,Unprovoked,USA,M,N
1297,2005.11.27,Unprovoked,USA,M,N
1298,2005.11.25.c,Boat,AUSTRALIA,Unknown,N
1299,2005.11.25.b,Unprovoked,AUSTRALIA,M,N
1300,2005.11.25.a,Unprovoked,SOUTH AFRICA,M,N
1301,2005.11.24,Unprovoked,NEW CALEDONIA,Unknown,N
1302,2005.11.21,Unprovoked,USA,M,N
1303,2005.11.20,Unprovoked,USA,M,N
1304,2005.11.16.R,Boat,NEW CALEDONIA,Unknown,N
1305,2005.11.15,Provoked,SOUTH AFRICA,M,N
1306,2005.11.12,Unprovoked,USA,M,N
1307,2005.11.02.b,Unprovoked,USA,M,N
1308,2005.11.02.a,Unprovoked,USA,M,N
1309,2005.10.29,Unprovoked,USA,M,N
1310,2005.10.25,Unprovoked,ST. MARTIN,M,N
1311,2005.10.22,Unprovoked,SOUTH AFRICA,M,N
1312,2005.10.21,Unprovoked,USA,M,N
1313,2005.10.19,Unprovoked,USA,F,N
1314,2005.10.15,Provoked,USA,M,N
1315,2005.10.13,Unprovoked,USA,M,N
1316,2005.10.11,Unprovoked,GRAND CAYMAN,F,N
1317,2005.10.06,Unprovoked,USA,M,N
1318,2005.10.03,Unprovoked,BAHAMAS,M,N
1319,2005.10.01,Unprovoked,SOUTH AFRICA,M,N
1320,2005.09.27.R,Unprovoked,AUSTRALIA,M,N
1321,2005.09.24,Unprovoked,AUSTRALIA,M,N
1322,2005.09.23,Unprovoked,AUSTRALIA,M,N
1323,2005.09.22,Invalid,USA,M,N
1324,2005.09.20,Unprovoked,USA,F,N
1325,2005.09.11,Unprovoked,USA,M,Y
1326,2005.09.07,Unprovoked,AUSTRALIA,M,N
1327,2005.09.05,Unprovoked,USA,F,N
1328,2005.09.04.a,Unprovoked,AUSTRALIA,M,N
1329,2005.09.02.b,Unprovoked,USA,M,N
1330,2005.09.02.a,Provoked,THAILAND,M,Y
1331,2005.08.24.b,Unprovoked,AUSTRALIA,M,Y
1332,2005.08.24.a,Unprovoked,USA,M,N
1333,2005.08.22,Invalid,USA,M,N
1334,2005.08.21,Unprovoked,USA,M,N
1335,2005.08.19,Unprovoked,USA,M,N
1336,2005.08.14,Invalid,SOUTH AFRICA,Unknown,N
1337,2005.08.12,Unprovoked,USA,M,N
1338,2005.08.06,Unprovoked,USA,M,N
1339,2005.08.01,Invalid,SEYCHELLES,M,Y
1340,2005.07.27,Unprovoked,USA,F,N
1341,2005.07.23,Unprovoked,USA,M,N
1342,2005.07.22,Invalid,USA,M,N
1343,2005.07.17.b,Invalid,LIBERIA,M,Y
1344,2005.07.17.a,Provoked,CHINA,M,N
1345,2005.07.15.R,Invalid,AUSTRALIA,Unknown,N
1346,2005.07.15,Unprovoked,USA,M,N
1347,2005.07.13,Unprovoked,USA,F,N
1348,2005.07.01,Unprovoked,USA,M,N
1349,2005.06.27,Unprovoked,USA,M,N
1350,2005.06.25,Unprovoked,USA,F,Y
1351,2005.06.22,Unprovoked,VANUATU,F,Y
1352,2005.06.21,Unprovoked,MEXICO ,M,N
1353,2005.06.18,Invalid,USA,M,N
1354,2005.06.16,Unprovoked,USA,M,N
1355,2005.06.13,Unprovoked,SOUTH KOREA,F,N
1356,2005.06.07,Unprovoked,USA,F,N
1357,2005.06.05,Invalid,USA,M,N
1358,2005.06.04,Unprovoked,SOUTH AFRICA,M,Y
1359,2005.06.02,Unprovoked,USA,M,N
1360,2005.05.28,Unprovoked,USA,M,N
1361,2005.05.27,Unprovoked,USA,F,N
1362,2005.05.25,Unprovoked,SOUTH AFRICA,M,N
1363,2005.05.15,Unprovoked,AUSTRALIA,M,N
1364,2005.05.14,Unprovoked,USA,Unknown,N
1365,2005.05.03,Unprovoked,MADAGASCAR,M,N
1366,2005.05.02.R,Sea Disaster,USA,M,N
1367,2005.05.02,Unprovoked,USA,M,N
1368,2005.04.25,Provoked,AUSTRALIA,M,N
1369,2005.04.17.R,Unprovoked,AUSTRALIA,Unknown,N
1370,2005.04.16.b,Unprovoked,AUSTRALIA,M,N
1371,2005.04.16.a,Unprovoked,AUSTRALIA,M,N
1372,2005.04.13,Unprovoked,USA,F,N
1373,2005.04.09,Invalid,USA,M,N
1374,2005.04.07,Unprovoked,USA,M,N
1375,2005.04.06,Unprovoked,USA,F,N
1376,2005.04.06,Invalid,HONDURAS,F,N
1377,2005.03.28,Unprovoked,SOUTH AFRICA,M,N
1378,2005.03.27.R,Unprovoked,AUSTRALIA,M,N
1379,2005.03.25,Unprovoked,VENEZUELA,M,N
1380,2005.03.19,Unprovoked,AUSTRALIA,M,Y
1381,2005.03.12,Provoked,USA,M,N
1382,2005.03.10,Invalid,SOUTH AFRICA,M,N
1383,2005.03.09,Provoked,NEW ZEALAND,M,N
1384,2005.03.05,Unprovoked,SOLOMON ISLANDS,M,N
1385,2005.02.26,Unprovoked,AUSTRALIA,M,N
1386,2005.02.22,Provoked,USA,M,N
1387,2005.02.16,Unprovoked,USA,M,N
1388,2005.02.13,Unprovoked,USA,M,N
1389,2005.02.04,Unprovoked,BRAZIL,M,N
1390,2005.01.20,Unprovoked,CUBA,M,N
1391,2005.01.19,Provoked,AUSTRALIA,M,N
1392,2005.01.14,Provoked,AUSTRALIA,Unknown,N
1393,2005.01.08,Unprovoked,NEW ZEALAND,M,N
1394,2004.12.26,Invalid,SRI LANKA,F,N
1395,2004.12.16,Unprovoked,AUSTRALIA,M,Y
1396,2004.12.11,Unprovoked,AUSTRALIA,M,Y
1397,2004.11.27,Unprovoked,SOUTH AFRICA,M,N
1398,2004.11.26,Unprovoked,SOUTH AFRICA,M,N
1399,2004.11.15,Unprovoked,SOUTH AFRICA,F,Y
1400,2004.11.11.b,Unprovoked,USA,Unknown,N
1401,2004.11.11.a,Unprovoked,VANUATU,M,N
1402,2004.11.00,Unprovoked,NEW CALEDONIA,Unknown,N
1403,2004.10.31,Unprovoked,CUBA,M,N
1404,2004.10.30.x,Invalid,NEW ZEALAND,Unknown,N
1405,2004.10.30.a,Unprovoked,SOUTH AFRICA,M,N
1406,2004.10.21,Unprovoked,AUSTRALIA,M,N
1407,2004.10.10,Unprovoked,USA,M,N
1408,2004.10.09.b,Unprovoked,USA,M,N
1409,2004.10.09.a,Unprovoked,SOUTH AFRICA,M,N
1410,2004.10.06,Unprovoked,REUNION,M,N
1411,2004.10.02,Unprovoked,USA,M,N
1412,2004.10.01,Unprovoked,USA,M,N
1413,2004.09.25,Boat,AUSTRALIA,Unknown,N
1414,2004.09.20,Unprovoked,USA,M,N
1415,2004.09.10,Invalid,USA,M,N
1416,2004.09.08,Unprovoked,BRAZIL,Unknown,Y
1417,2004.09.04,Unprovoked,USA,F,N
1418,2004.08.29,Unprovoked,USA,F,N
1419,2004.08.21,Unprovoked,BRAZIL,M,N
1420,2004.08.20,Unprovoked,USA,M,N
1421,2004.08.15,Unprovoked,USA,M,Y
1422,2004.08.06,Unprovoked,USA,M,N
1423,2004.08.03,Unprovoked,AUSTRALIA,M,N
1424,2004.08.00,Boat,SOUTH AFRICA,Unknown,N
1425,2004.07.31,Unprovoked,USA,F,N
1426,2004.07.30,Unprovoked,RUSSIA,M,N
1427,2004.07.28,Unprovoked,USA,F,N
1428,2004.07.27.b,Unprovoked,USA,F,N
1429,2004.07.27.a,Unprovoked,USA,F,N
1430,2004.07.25,Unprovoked,USA,M,N
1431,2004.07.19.R,Boat,AUSTRALIA,Unknown,N
1432,2004.07.15,Unprovoked,JAPAN,M,N
1433,2004.07.10,Unprovoked,AUSTRALIA,M,Y
1434,2004.07.02.b,Unprovoked,EGYPT,F,N
1435,2004.07.02.a,Unprovoked,USA,M,N
1436,2004.06.26.b,Unprovoked,USA,M,N
1437,2004.06.26.a,Invalid,AUSTRALIA,M,N
1438,2004.06.14,Unprovoked,USA,F,N
1439,2004.06.10.b,Unprovoked,AUSTRALIA,M,N
1440,2004.06.10.a,Unprovoked,USA,M,N
1441,2004.06.02,Unprovoked,SOUTH AFRICA,M,Y
1442,2004.05.29,Unprovoked,USA,M,N
1443,2004.05.23.b,Unprovoked,BRAZIL,M,N
1444,2004.05.28,Unprovoked,USA,M,N
1445,2004.05.23.a,Unprovoked,USA,M,N
1446,2004.05.22.c,Invalid,USA,M,N
1447,2004.05.22.b,Unprovoked,USA,F,N
1448,2004.05.22.a,Unprovoked,BRAZIL,F,N
1449,2004.05.18,Provoked,BAHAMAS,M,N
1450,2004.05.04,Unprovoked,USA,M,N
1451,2004.05.01,Unprovoked,BRAZIL,M,Y
1452,2004.04.26,Unprovoked,AUSTRALIA,M,N
1453,2004.04.22,Boat,NEW ZEALAND,Unknown,N
1454,2004.04.13.b,Unprovoked,TONGA,M,Y
1455,2004.04.13.a,Invalid,TONGA,M,Y
1456,2004.04.07,Unprovoked,USA,M,Y
1457,2004.04.05,Unprovoked,SOUTH AFRICA,M,N
1458,2004.04.04,Invalid,USA,F,Y
1459,2004.03.31.b,Unprovoked,USA,M,N
1460,2004.03.31.a,Unprovoked,USA,M,N
1461,2004.03.29,Unprovoked,BRAZIL,M,N
1462,2004.03.28,Unprovoked,USA,M,N
1463,2004.03.27.b,Unprovoked,REUNION,M,N
1464,2004.03.27.a,Unprovoked,USA,M,N
1465,2004.03.24,Unprovoked,USA,F,N
1466,2004.03.22,Unprovoked,NEW ZEALAND,M,N
1467,2004.03.16,Unprovoked,USA,M,N
1468,2004.03.06,Unprovoked,AUSTRALIA,M,N
1469,2004.02.29,Unprovoked,BRAZIL,M,Y
1470,2004.02.26,Unprovoked,NEW ZEALAND,M,N
1471,2004.02.21,Unprovoked,AUSTRALIA,M,N
1472,2004.02.16,Invalid,AUSTRALIA,M,N
1473,2004.02.14,Unprovoked,EGYPT,M,Y
1474,2004.02.11,Unprovoked,AUSTRALIA,M,N
1475,2004.01.25,Unprovoked,AUSTRALIA,M,N
1476,2004.01.23,Unprovoked,URUGUAY,M,N
1477,2004.01.22,Invalid,NEW ZEALAND,M,N
1478,2004.01.21.b,Unprovoked,VENEZUELA,M,N
1479,2004.01.21.a,Unprovoked,VENEZUELA,M,N
1480,2004.01.15.R,Boat,SOUTH AFRICA,M,N
1481,2004.01.12,Unprovoked,AUSTRALIA,M,N
1482,2004.01.07,Unprovoked,SOUTH AFRICA,M,N
1483,2004.01.03.b,Invalid,NEW ZEALAND,M,N
1484,2004.01.03.a,Sea Disaster,EGYPT,Unknown,Y
1485,2004.00.00,Unprovoked,AUSTRALIA,M,N
1486,2003.12.31,Boat,SOUTH AFRICA,Unknown,N
1487,2003.12.26,Invalid,USA,M,N
1488,2003.12.13.b,Unprovoked,USA,M,N
1489,2003.12.13.a,Unprovoked,NEW ZEALAND,M,Y
1490,2003.12.08,Unprovoked,AUSTRALIA,M,N
1491,2003.11.30.b,Unprovoked,AUSTRALIA,M,N
1492,2003.11.30.a,Unprovoked,AUSTRALIA,M,N
1493,2003.11.27,Unprovoked,SOUTH AFRICA,M,Y
1494,2003.11.22,Unprovoked,USA,F,N
1495,2003.11.12.b,Unprovoked,INDIA,M,N
1496,2003.11.12.a,Unprovoked,USA,M,N
1497,2003.11.06.b,Unprovoked,EGYPT,M,N
1498,2003.11.06.a,Unprovoked,SOUTH AFRICA,Unknown,N
1499,2003.11.01,Unprovoked,AUSTRALIA,M,N
1500,2003.11.00,Provoked,PANAMA,M,N
1501,2003.10.31.c,Unprovoked,USA,M,N
1502,2003.10.31.b,Unprovoked,AUSTRALIA,M,N
1503,2003.10.31.a,Unprovoked,USA,F,N
1504,2003.10.27,Unprovoked,USA,M,N
1505,2003.10.24,Invalid,USA,M,N
1506,2003.10.14,Unprovoked,USA,M,N
1507,2003.10.06,Invalid,USA,M,Y
1508,2003.10.05.e,Unprovoked,USA,F,N
1509,2003.10.05.d,Unprovoked,USA,M,N
1510,2003.10.05.c,Provoked,USA,M,N
1511,2003.10.05.b,Unprovoked,USA,M,N
1512,2003.10.05.a,Unprovoked,USA,F,N
1513,2003.09.29,Unprovoked,FIJI,M,Y
1514,2003.09.28,Unprovoked,USA,M,N
1515,2003.09.21,Unprovoked,USA,M,N
1516,2003.09.19,Unprovoked,USA,M,N
1517,2003.09.17,Unprovoked,USA,M,N
1518,2003.09.14.c,Unprovoked,USA,M,N
1519,2003.09.14.b,Boat,SOUTH AFRICA,Unknown,N
1520,2003.09.14.a,Invalid,USA,F,N
1521,2003.09.13.b,Unprovoked,USA,M,N
1522,2003.09.13.a,Unprovoked,USA,M,N
1523,2003.09.12,Unprovoked,SOUTH AFRICA,M,Y
1524,2003.09.00,Unprovoked,USA,M,N
1525,2003.08.29,Provoked,USA,M,N
1526,2003.08.19,Unprovoked,USA,F,Y
1527,2003.08.12,Invalid,USA,M,N
1528,2003.08.08,Unprovoked,SOUTH AFRICA,M,N
1529,2003.07.26.R,Unprovoked,AUSTRALIA,M,N
1530,2003.07.20,Unprovoked,USA,M,N
1531,2003.07.15,Unprovoked,USA,F,N
1532,2003.07.09,Unprovoked,BAHAMAS,M,N
1533,2003.07.05.b,Provoked,USA,M,N
1534,2003.07.05.a,Unprovoked,USA,M,N
1535,2003.07.04,Unprovoked,BAHAMAS,M,N
1536,2003.07.00.c,Unprovoked,USA,M,N
1537,2003.07.00.b,Unprovoked,FRENCH POLYNESIA,M,N
1538,2003.07.00.a,Unprovoked,NEW ZEALAND,M,N
1539,2003.06.30,Unprovoked,USA,M,N
1540,2003.06.26,Unprovoked,USA,M,N
1541,2003.06.24.c,Unprovoked,BRAZIL,M,Y
1542,2003.06.24.b,Unprovoked,USA,F,N
1543,2003.06.24.a,Unprovoked,USA,M,N
1544,2003.06.22,Unprovoked,USA,M,N
1545,2003.06.19,Unprovoked,USA,M,N
1546,2003.06.08,Unprovoked,USA,Unknown,N
1547,2003.06.00,Invalid,USA,F,N
1548,2003.05.25,Unprovoked,USA,M,N
1549,2003.05.14,Unprovoked,USA,M,N
1550,2003.05.10,Unprovoked,USA,M,N
1551,2003.05.07,Provoked,USA,M,N
1552,2003.05.03,Unprovoked,USA,F,N
1553,2003.05.00,Unprovoked,PHILIPPINES,Unknown,N
1554,2003.04.26,Provoked,BRAZIL,M,N
1555,2003.04.25,Unprovoked,BRAZIL,M,N
1556,2003.04.23.b,Unprovoked,BRAZIL,M,N
1557,2003.04.23.a,Unprovoked,BRAZIL,M,N
1558,2003.04.21.b,Unprovoked,USA,M,N
1559,2003.04.21.a,Unprovoked,USA,M,N
1560,2003.04.20.c,Unprovoked,USA,M,N
1561,2003.04.20.b,Unprovoked,USA,M,N
1562,2003.04.20.a,Unprovoked,USA,M,N
1563,2003.04.19,Unprovoked,USA,M,N
1564,2003.04.18,Unprovoked,USA,M,N
1565,2003.04.15,Unprovoked,USA,M,N
1566,2003.04.11,Unprovoked,VENEZUELA,M,N
1567,2003.04.09,Unprovoked,USA,M,N
1568,2003.04.04,Unprovoked,USA,M,N
1569,2003.03.10,Provoked,USA,F,N
1570,2003.02.27,Unprovoked,NEW ZEALAND,M,N
1571,2003.02.15.b,Unprovoked,AUSTRALIA,M,N
1572,2003.02.15.a,Unprovoked,USA,M,N
1573,2003.02.11,Unprovoked,AUSTRALIA,M,N
1574,2003.02.08,Unprovoked,AUSTRALIA,M,Y
1575,2003.01.17,Invalid,SOUTH AFRICA,M,Y
1576,2003.01.03,Unprovoked,COSTA RICA,M,N
1577,2003.01.02,Unprovoked,AUSTRALIA,F,N
1578,2002.12.29,Unprovoked,AUSTRALIA,F,N
1579,2002.12.24,Unprovoked,SOUTH AFRICA,M,N
1580,2002.12.21,Unprovoked,AUSTRALIA,M,N
1581,2002.12.20,Invalid,AUSTRALIA,M,N
1582,2002.12.16,Unprovoked,AUSTRALIA,M,Y
1583,2002.12.01,Unprovoked,BRAZIL,M,Y
1584,2002.11.28.b,Unprovoked,MICRONESIA,M,N
1585,2002.11.28.a,Unprovoked,USA,M,N
1586,2002.11.17,Unprovoked,USA,F,N
1587,2002.11.14,Unprovoked,TURKS AND CAICOS,F,N
1588,2002.11.11,Unprovoked,USA,M,N
1589,2002.11.02,Unprovoked,USA,M,N
1590,2002.11.00.a,Unprovoked,FRENCH POLYNESIA,M,N
1591,2002.10.30,Unprovoked,USA,F,N
1592,2002.10.14,Unprovoked,BRAZIL,M,Y
1593,2002.10.11,Unprovoked,USA,M,N
1594,2002.10.05.b,Unprovoked,USA,M,N
1595,2002.10.05.a,Unprovoked,USA,M,N
1596,2002.10.03,Unprovoked,USA,M,N
1597,2002.09.30,Unprovoked,USA,M,N
1598,2002.09.29,Unprovoked,USA,M,N
1599,2002.09.27.c,Unprovoked,USA,M,N
1600,2002.09.27.b,Provoked,USA,M,N
1601,2002.09.27.a,Provoked,TONGA,M,N
1602,2002.09.21.b,Unprovoked,USA,M,N
1603,2002.09.21.a,Unprovoked,USA,M,N
1604,2002.09.16.b,Unprovoked,BRAZIL,M,N
1605,2002.09.16.a,Unprovoked,USA,Unknown,N
1606,2002.09.13,Unprovoked,SOUTH AFRICA,M,N
1607,2002.09.09,Unprovoked,USA,M,N
1608,2002.09.05,Provoked,USA,M,N
1609,2002.08.28,Unprovoked,USA,M,N
1610,2002.08.17,Unprovoked,USA,F,N
1611,2002.08.14,Unprovoked,USA,M,N
1612,2002.08.11,Unprovoked,USA,M,N
1613,2002.08.07,Unprovoked,USA,M,N
1614,2002.08.06.R,Provoked,UNITED KINGDOM,M,N
1615,2002.08.05,Unprovoked,USA,M,N
1616,2002.07.26,Unprovoked,USA,M,N
1617,2002.07.20,Unprovoked,USA,F,N
1618,2002.07.10,Provoked,USA,M,N
1619,2002.07.09.b,Provoked,USA,M,Y
1620,2002.07.09.a,Unprovoked,BRAZIL,M,N
1621,2002.07.04,Unprovoked,USA,F,N
1622,2002.06.20.b,Unprovoked,AUSTRALIA,M,N
1623,2002.06.20.a,Unprovoked,USA,F,N
1624,2002.06.16,Invalid,INDONESIA,Unknown,Y
1625,2002.06.13.R2,Unprovoked,PAPUA NEW GUINEA,Unknown,N
1626,2002.06.13.R1,Unprovoked,PAPUA NEW GUINEA,Unknown,Y
1627,2002.06.11.b,Unprovoked,USA,Unknown,N
1628,2002.06.11.a,Unprovoked,USA,M,N
1629,2002.06.09.b,Unprovoked,USA,M,N
1630,2002.06.09.a,Unprovoked,USA,M,N
1631,2002.06.03,Unprovoked,SOUTH AFRICA,M,N
1632,2002.05.31.b,Unprovoked,USA,M,N
1633,2002.05.31.a,Unprovoked,USA,M,N
1634,2002.05.22.b,Provoked,USA,M,N
1635,2002.05.22.a,Unprovoked,USA,M,N
1636,2002.05.21.R,Unprovoked,COSTA RICA,M,N
1637,2002.05.21,Unprovoked,PAPUA NEW GUINEA,M,N
1638,2002.05.13,Unprovoked,USA,M,N
1639,2002.05.10,Unprovoked,BRAZIL,M,N
1640,2002.05.07,Provoked,AUSTRALIA,M,N
1641,2002.04.30,Unprovoked,AUSTRALIA,M,Y
1642,2002.04.21,Invalid,AUSTRALIA,M,Y
1643,2002.04.20,Unprovoked,USA,M,N
1644,2002.04.18,Unprovoked,USA,M,N
1645,2002.04.12,Unprovoked,AUSTRALIA,M,N
1646,2002.04.09,Unprovoked,BAHAMAS,M,N
1647,2002.04.02,Unprovoked,USA,M,N
1648,2002.04.01,Unprovoked,USA,M,N
1649,2002.03.25.b,Unprovoked,USA,M,N
1650,2002.03.25.a,Unprovoked,USA,F,N
1651,2002.03.24,Unprovoked,BRAZIL,M,Y
1652,2002.03.19,Unprovoked,USA,M,N
1653,2002.03.15.b,Unprovoked,USA,M,N
1654,2002.03.15.a,Unprovoked,USA,M,N
1655,2002.03.03,Invalid,NEW CALEDONIA,M,Y
1656,2002.02.23,Unprovoked,TURKS AND CAICOS,M,Y
1657,2002.02.16,Unprovoked,AUSTRALIA,M,N
1658,2002.02.11,Unprovoked,FIJI,M,Y
1659,2002.02.07,Unprovoked,AUSTRALIA,M,N
1660,2002.01.30.b,Unprovoked,AUSTRALIA,M,N
1661,2002.01.30.a,Unprovoked,AUSTRALIA,M,N
1662,2002.01.04,Unprovoked,SOUTH AFRICA,M,N
1663,2002.01.03,Unprovoked,BRAZIL,Unknown,Y
1664,2002.01.01.b,Unprovoked,SOUTH AFRICA,M,N
1665,2002.01.01.a,Unprovoked,USA,M,N
1666,2001.12.21,Invalid,AUSTRALIA,M,N
1667,2001.11.23,Unprovoked,AUSTRALIA,M,N
1668,2001.11.14,Unprovoked,USA,Unknown,N
1669,2001.11.07,Invalid,AUSTRALIA,M,N
1670,2001.10.07,Unprovoked,SOUTH AFRICA,M,N
1671,2001.10.02,Unprovoked,AUSTRALIA,F,N
1672,2001.09.30.b,Unprovoked,MEXICO,M,N
1673,2001.09.30.a,Boat,AUSTRALIA,M,N
1674,2001.09.24,Provoked,USA,M,N
1675,2001.09.18,Unprovoked,USA,M,N
1676,2001.09.16,Invalid,USA,M,Y
1677,2001.09.15.b,Unprovoked,USA,M,N
1678,2001.09.15.a,Unprovoked,USA,M,N
1679,2001.09.13,Provoked,UNITED KINGDOM,M,N
1680,2001.09.08,Provoked,USA,M,N
1681,2001.09.07.b,Unprovoked,USA,M,N
1682,2001.09.07.a,Invalid,USA,F,N
1683,2001.09.03.b,Unprovoked,USA,M,Y
1684,2001.09.03.a,Unprovoked,USA,F,N
1685,2001.09.02,Unprovoked,USA,M,N
1686,2001.09.01,Unprovoked,USA,M,Y
1687,2001.08.31,Unprovoked,BAHAMAS,M,N
1688,2001.08.29,Unprovoked,USA,F,N
1689,2001.08.27,Unprovoked,USA,M,N
1690,2001.08.26,Unprovoked,USA,M,N
1691,2001.08.25,Unprovoked,USA,M,N
1692,2001.08.22,Unprovoked,USA,M,N
1693,2001.08.21,Unprovoked,USA,M,N
1694,2001.08.19.c,Unprovoked,USA,M,N
1695,2001.08.19.b,Unprovoked,USA,F,N
1696,2001.08.19.a,Unprovoked,USA,F,N
1697,2001.08.18.c,Unprovoked,USA,M,N
1698,2001.08.18.b,Unprovoked,USA,M,N
1699,2001.08.18.a,Unprovoked,USA,M,N
1700,2001.08.16,Unprovoked,BAHAMAS,M,N
1701,2001.08.12,Unprovoked,THAILAND,M,N
1702,2001.08.05,Unprovoked,USA,F,N
1703,2001.08.04,Unprovoked,BAHAMAS,M,N
1704,2001.08.03,Boat,ITALY,Unknown,N
1705,2001.07.26,Unprovoked,USA,F,N
1706,2001.07.25,Unprovoked,USA,M,N
1707,2001.07.24,Unprovoked,USA,F,N
1708,2001.07.21,Boat,USA,Unknown,N
1709,2001.07.15.b,Unprovoked,USA,M,N
1710,2001.07.15.a,Unprovoked,USA,M,N
1711,2001.07.06.b,Unprovoked,MEXICO,M,N
1712,2001.07.06.a,Unprovoked,USA,M,N
1713,2001.07.03,Unprovoked,USA,Unknown,N
1714,2001.07.00,Unprovoked,USA,M,N
1715,2001.06.12,Unprovoked,USA,M,N
1716,2001.06.10,Provoked,USA,M,N
1717,2001.06.09,Invalid,AUSTRALIA,M,Y
1718,2001.06.03,Unprovoked,USA,F,N
1719,2001.05.29,Unprovoked,USA,M,N
1720,2001.05.23 ,Unprovoked,USA,M,N
1721,2001.05.20,Unprovoked,USA,M,N
1722,2001.05.18,Provoked,PHILIPPINES,M,N
1723,2001.05.11,Invalid,MADAGASCAR,M,Y
1724,2001.05.08,Unprovoked,SOUTH AFRICA,M,N
1725,2001.05.04,Unprovoked,AUSTRALIA,M,N
1726,2001.05.03,Unprovoked,USA,M,N
1727,2001.05.00,Unprovoked,FIJI,M,Y
